hjd,camera,mag,mag_err,flux,flux_err
2458019.99624,bb,16.304,0.10126,1.154,0.108
2458009.01495,bb,15.5,0.05731,2.42,0.128
2458423.9413,bb,15.852,0.07404,1.751,0.119
2457359.79049,bb,16.293,0.10053,1.166,0.108
2456939.86507,bb,16.459,0.11175,1.0,0.103
2458029.91846,bb,16.191,0.09392,1.28,0.111
2456907.93761,bb,16.329,0.10292,1.128,0.107
2457964.93866,bb,16.356,0.10473,1.101,0.106
2457003.77936,bb,15.403,0.05342,2.648,0.13
2457038.71562,bb,16.238,0.09694,1.226,0.109
2456506.0135,bb,16.209,0.09507,1.26,0.11
2458096.82596,bb,15.744,0.06847,1.933,0.122
2457744.76701,bb,15.405,0.0535,2.642,0.13
2456570.78039,bb,16.221,0.09584,1.246,0.11
2456889.96361,bb,16.186,0.0936,1.286,0.111
2458017.98592,bb,16.085,0.08734,1.412,0.113
2457230.96063,bb,16.266,0.09876,1.196,0.109
2457765.72787,bb,16.424,0.10935,1.034,0.104
2457392.74814,bb,15.391,0.05296,2.676,0.13
2457704.71966,bb,15.963,0.08016,1.58,0.117
2457982.99978,bb,16.221,0.09584,1.246,0.11
2458431.83285,bb,16.065,0.08613,1.438,0.114
2458013.97782,bb,16.368,0.10554,1.088,0.106
2457659.92079,bb,16.068,0.08631,1.434,0.114
2457992.94145,bb,15.901,0.07669,1.674,0.118
2458338.95678,bb,15.983,0.08131,1.552,0.116
2458066.79937,bb,15.691,0.06588,2.031,0.123
2457761.72644,bb,16.301,0.10106,1.158,0.108
2458059.72653,bb,16.5,0.11458,0.964,0.102
2457767.71342,bb,16.216,0.09552,1.251,0.11
2456917.0795,bb,16.132,0.09022,1.352,0.112
2457236.08109,bb,15.45,0.05527,2.535,0.129
2458022.00265,bb,15.826,0.07266,1.792,0.12
2457372.80912,bb,15.998,0.08217,1.53,0.116
2456973.82502,bb,15.795,0.07105,1.845,0.121
2456971.84463,bb,15.319,0.05028,2.86,0.132
2458416.93672,bb,15.429,0.05443,2.584,0.129
2456873.91592,bb,15.126,0.04389,3.417,0.138
2456920.93344,bb,16.239,0.097,1.225,0.109
2456932.89798,bb,16.24,0.09707,1.224,0.109
2457654.01935,bb,16.414,0.10866,1.043,0.104
2457386.72352,bb,15.239,0.0475,3.078,0.135
2458061.73709,bb,15.79,0.07079,1.854,0.121
2457170.10786,bb,15.454,0.05543,2.525,0.129
2456477.00874,bb,16.278,0.09955,1.182,0.108
2457165.11345,bb,15.8,0.07131,1.836,0.12
2457364.83997,bb,16.28,0.09968,1.181,0.108
2458344.00913,bb,15.801,0.07136,1.835,0.12
2457686.95541,bb,15.324,0.05047,2.847,0.132
