hjd,camera,mag,mag_err,flux,flux_err
2457299.02407,bb,15.749,0.06872,1.925,0.122
2457973.93549,bb,15.541,0.05905,2.33,0.127
2458060.74527,bb,15.318,0.05025,2.862,0.132
2457707.85719,bb,15.795,0.07105,1.844,0.121
2456970.90998,bb,15.692,0.06593,2.028,0.123
2456496.91296,bb,16.407,0.10819,1.05,0.105
2457576.10237,bb,15.089,0.04278,3.534,0.139
2457559.04183,bb,15.231,0.04723,3.101,0.135
2456471.02118,bb,16.325,0.10266,1.133,0.107
2457979.06608,bb,15.833,0.07303,1.782,0.12
2457704.71966,bb,15.961,0.08005,1.583,0.117
2457672.76385,bb,15.902,0.07675,1.671,0.118
2456910.9462,bb,15.491,0.05694,2.44,0.128
2456521.90518,bb,15.074,0.04234,3.582,0.14
2457255.91524,bb,16.371,0.10574,1.085,0.106
2457680.91283,bb,16.446,0.11085,1.013,0.103
2457989.05608,bb,16.278,0.09955,1.182,0.108
2456805.11512,bb,15.274,0.04869,2.979,0.133
2457236.08109,bb,15.45,0.05527,2.535,0.129
2456477.00874,bb,16.278,0.09955,1.182,0.108
2458019.99624,bb,16.304,0.10126,1.154,0.108
2456895.97236,bb,16.265,0.09869,1.196,0.109
2457243.98303,bb,15.369,0.05212,2.731,0.131
2457744.76701,bb,15.406,0.05353,2.639,0.13
2457536.10205,bb,16.221,0.09584,1.246,0.11
2456869.94653,bb,15.957,0.07982,1.588,0.117
2457329.90431,bb,15.198,0.04615,3.198,0.136
2457206.03364,bb,16.314,0.10192,1.143,0.107
2456631.80079,bb,16.309,0.10159,1.149,0.107
2456871.0214,bb,16.247,0.09752,1.216,0.109
2458449.73853,bb,15.596,0.06147,2.215,0.125
2456658.74659,bb,15.673,0.06502,2.065,0.124
2457392.74814,bb,15.393,0.05303,2.671,0.13
2457377.77819,bb,16.176,0.09297,1.298,0.111
2456928.91443,bb,15.168,0.04519,3.288,0.137
2458344.00913,bb,15.802,0.07141,1.833,0.12
2457364.83997,bb,16.28,0.09968,1.18,0.108
2457247.05888,bb,16.23,0.09642,1.236,0.11
2456920.04992,bb,16.362,0.10514,1.094,0.106
2457038.71562,bb,16.239,0.097,1.226,0.109
2458017.98592,bb,16.086,0.0874,1.411,0.113
2456939.86507,bb,16.458,0.11168,1.002,0.103
2457919.05541,bb,15.888,0.07598,1.693,0.118
2456523.96108,bb,16.269,0.09896,1.192,0.109
2456464.0521,bb,16.068,0.08631,1.434,0.114
2458010.93027,bb,15.86,0.07447,1.737,0.119
2458066.79937,bb,15.691,0.06588,2.03,0.123
2458310.09109,bb,16.332,0.10312,1.125,0.107
2457362.77904,bb,15.746,0.06857,1.929,0.122
2457181.09863,bb,15.773,0.06993,1.882,0.121
2456918.06981,bb,16.268,0.09889,1.193,0.109
2457290.94961,bb,16.56,0.11876,0.912,0.1
2457023.77339,bb,15.988,0.08159,1.544,0.116
2457228.03326,bb,16.302,0.10113,1.156,0.108
2458325.94129,bb,15.58,0.06075,2.249,0.126
2457526.11431,bb,16.164,0.09222,1.313,0.111
2457403.71754,bb,16.323,0.10252,1.134,0.107
2457001.81247,bb,16.447,0.11092,1.012,0.103
2456863.02493,bb,16.038,0.08452,1.474,0.115
2456896.96692,bb,16.252,0.09785,1.211,0.109
2456873.91592,bb,15.124,0.04382,3.423,0.138
2457614.94402,bb,15.417,0.05396,2.613,0.13
2456889.96361,bb,16.187,0.09367,1.285,0.111
2456574.89643,bb,16.38,0.10635,1.076,0.105
2457276.08656,bb,16.265,0.09869,1.196,0.109
2456899.95902,bb,15.954,0.07965,1.594,0.117
2458423.9413,bb,15.85,0.07393,1.754,0.119
2458036.98193,bb,16.268,0.09889,1.193,0.109
2457323.88971,bb,15.185,0.04573,3.236,0.136
2458318.98989,bb,15.418,0.054,2.611,0.13
2457767.71342,bb,16.218,0.09565,1.25,0.11
2457667.9957,bb,16.118,0.08935,1.37,0.113
2457241.99223,bb,16.321,0.10239,1.136,0.107
2457354.71764,bb,16.226,0.09616,1.241,0.11
2457284.99777,bb,16.21,0.09513,1.258,0.11
2457746.76466,bb,16.166,0.09234,1.31,0.111
2457550.06556,bb,16.189,0.09379,1.283,0.111
2457931.03968,bb,15.919,0.07769,1.646,0.118
2458299.02396,bb,16.294,0.1006,1.165,0.108
2457185.09325,bb,16.226,0.09616,1.24,0.11
2456642.8029,bb,16.314,0.10192,1.143,0.107
2456973.82502,bb,15.794,0.071,1.846,0.121
2457366.7842,bb,16.331,0.10306,1.126,0.107
2456891.97672,bb,15.282,0.04897,2.959,0.133
2456913.95053,bb,16.357,0.1048,1.099,0.106
2458416.93672,bb,15.431,0.05451,2.579,0.129
2458307.08174,bb,16.103,0.08843,1.389,0.113
2456481.95443,bb,16.199,0.09443,1.272,0.111
2457324.73169,bb,16.358,0.10487,1.098,0.106
2457656.96824,bb,15.246,0.04774,3.059,0.134
2457316.87864,bb,16.209,0.09507,1.26,0.11
2457935.02491,bb,15.474,0.05624,2.48,0.128
2458037.9698,bb,16.415,0.10873,1.043,0.104
2457333.92774,bb,16.223,0.09597,1.244,0.11
2457964.93866,bb,16.355,0.10466,1.101,0.106
2457669.89571,bb,15.187,0.04579,3.23,0.136
2458027.00724,bb,15.284,0.04904,2.952,0.133
2457659.92079,bb,16.072,0.08655,1.43,0.114
2458059.72653,bb,16.514,0.11556,0.951,0.101
2456884.98577,bb,15.64,0.06347,2.128,0.124
2457232.10116,bb,16.008,0.08275,1.515,0.115
2458022.00265,bb,15.828,0.07277,1.79,0.12
2457386.72352,bb,15.24,0.04753,3.076,0.135
2457230.96063,bb,16.268,0.09889,1.193,0.109
2456474.03072,bb,15.944,0.07908,1.609,0.117
2456575.88095,bb,16.201,0.09456,1.269,0.11
2458004.9799,bb,15.997,0.08211,1.531,0.116
2456849.04586,bb,15.41,0.05369,2.63,0.13
2456788.11859,bb,15.526,0.05841,2.364,0.127
2458048.82,bb,15.932,0.07841,1.626,0.117
2456570.78039,bb,16.219,0.09571,1.248,0.11
2458078.88728,bb,16.02,0.08346,1.5,0.115
2457304.83428,bb,16.244,0.09733,1.22,0.109
2457765.72787,bb,16.428,0.10962,1.03,0.104
2457654.01935,bb,16.415,0.10873,1.042,0.104
2457328.94083,bb,15.196,0.04608,3.203,0.136
2457686.95541,bb,15.325,0.0505,2.844,0.132
2457044.71198,bb,16.581,0.12023,0.894,0.099
2456532.96787,bb,15.898,0.07653,1.678,0.118
2457003.77936,bb,15.401,0.05334,2.65,0.13
